stamp_sec,p_lidar_x,p_lidar_y,p_lidar_z,v_lidar_x,v_lidar_y,v_lidar_z,speed_2d,fix_type,flags,h_acc_mm,v_acc_mm,s_acc_mm_s,quality
1783929967.937420845,17.182592,3.927764,-0.087076,0.135543,-0.425329,0.000000,0.446405,3,131,20,50,50,high
1783929968.157130003,17.206366,3.879091,-0.087076,0.120333,-0.541008,0.000000,0.554229,3,131,20,50,50,high
1783929968.336823940,17.199254,3.761642,-0.087076,0.010843,-0.641308,0.000000,0.641400,3,131,20,50,50,high
1783929968.537017345,17.192141,3.644194,-0.087076,0.044318,-0.459505,0.000000,0.461637,3,131,20,50,50,high
1783929968.537081718,17.203812,3.574921,-0.087076,0.131547,-0.576621,0.000000,0.591436,3,131,20,50,50,high
1783929968.937499762,17.242166,3.380891,-0.087076,0.183954,-0.704337,0.000000,0.727963,3,131,20,50,50,high
1783929968.937622070,17.250497,3.297830,-0.087076,0.205620,-0.696363,0.000000,0.726086,3,131,20,50,50,high
1783929969.157121420,17.279695,3.242180,-0.087076,0.131716,-0.598021,0.000000,0.612354,3,131,20,50,50,high
1783929969.337030649,17.288851,3.103801,-0.087076,0.039039,-0.780244,0.000000,0.781220,3,131,20,50,50,high
1783929969.337093830,17.282996,3.020906,-0.087076,-0.039714,-0.760396,0.000000,0.761433,3,131,20,50,50,high
1783929969.557030439,17.283821,2.965587,-0.087076,-0.081269,-0.705304,0.000000,0.709970,3,131,20,50,50,high
1783929969.557092667,17.277966,2.882692,-0.087076,-0.071199,-0.755738,0.000000,0.759084,3,131,20,50,50,high
1783929969.736917257,17.250420,2.827705,-0.087076,-0.113914,-0.493834,0.000000,0.506803,3,131,20,50,50,high
1783929969.737080336,17.242482,2.765575,-0.087076,-0.083956,-0.607336,0.000000,0.613111,3,131,20,50,50,high
1783929969.917035818,17.236627,2.682680,-0.087075,-0.052275,-0.820822,0.000000,0.822485,3,131,20,50,50,high
1783929969.917107821,17.236195,2.592808,-0.087075,-0.016150,-0.851004,0.000000,0.851157,3,131,20,50,50,high
1783929970.157013655,17.247866,2.523535,-0.087075,0.075089,-0.771221,0.000000,0.774868,3,131,20,50,50,high
1783929970.376825571,17.230733,2.364722,-0.087075,-0.098096,-0.668988,0.000000,0.676142,3,131,20,50,50,high
1783929970.376915216,17.242404,2.295450,-0.087075,0.031263,-0.688764,0.000000,0.689473,3,131,20,50,50,high
1783929970.537044525,17.231126,2.219532,-0.087075,-0.081205,-0.778714,0.000000,0.782936,3,131,20,50,50,high
1783929970.537107229,17.207745,2.123014,-0.087075,-0.174996,-0.884544,0.000000,0.901688,3,131,20,50,50,high
1783929970.736963749,17.191044,2.054073,-0.087075,-0.210119,-0.738327,0.000000,0.767644,3,131,20,50,50,high
1783929970.737024546,17.163498,1.999086,-0.087075,-0.102007,-0.558039,0.000000,0.567286,3,131,20,50,50,high
1783929970.937079906,17.164323,1.943767,-0.087075,-0.130686,-0.553732,0.000000,0.568945,3,131,20,50,50,high
1783929970.937143803,17.158468,1.860872,-0.087075,-0.065747,-0.712238,0.000000,0.715266,3,131,20,50,50,high
1783929971.156861782,17.152613,1.777977,-0.087075,-0.011750,-0.804522,0.000000,0.804607,3,131,20,50,50,high
1783929971.357041597,17.173441,1.570325,0.012925,0.042856,-0.641757,0.000000,0.643187,3,131,20,50,50,high
1783929971.597078323,17.170926,1.501218,0.012925,0.090401,-0.614935,0.000000,0.621544,3,131,20,50,50,high
1783929971.597141504,17.182597,1.431946,0.012925,0.048256,-0.757882,0.000000,0.759416,3,131,20,50,50,high
1783929971.736936092,17.176742,1.349051,-0.087075,-0.078660,-0.775469,0.000000,0.779449,3,131,20,50,50,high
1783929971.737020493,17.160041,1.280109,-0.087075,-0.126097,-0.738881,0.000000,0.749563,3,131,20,50,50,high
1783929971.936992407,17.166289,1.217814,-0.087075,-0.056366,-0.722678,0.000000,0.724872,3,131,20,50,50,high
1783929971.937052250,17.149589,1.148873,-0.087075,-0.040886,-0.587791,0.000000,0.589211,3,131,20,50,50,high
1783929972.176829576,17.152497,1.072789,-0.087075,-0.005640,-0.624990,0.000000,0.625015,3,131,20,50,50,high
1783929972.336925030,17.170416,0.941221,-0.087075,0.068590,-0.800338,0.000000,0.803271,3,131,20,50,50,high
1783929972.337030649,17.184170,0.851183,-0.087075,0.154449,-0.814662,0.000000,0.829173,3,131,20,50,50,high
1783929972.537056684,17.212110,0.760979,-0.087075,0.213898,-0.863445,0.000000,0.889545,3,131,20,50,50,high
1783929972.537087202,17.218359,0.698684,-0.087075,0.079082,-0.631332,0.000000,0.636266,3,131,20,50,50,high
1783929972.737066031,17.212504,0.615788,-0.087075,0.046710,-0.656493,0.000000,0.658153,3,131,20,50,50,high
1783929972.737134457,17.206649,0.532893,-0.087075,-0.047789,-0.779338,0.000000,0.780802,3,131,20,50,50,high
1783929972.937074900,17.195371,0.456975,-0.087075,-0.105714,-0.900354,0.000000,0.906538,3,131,20,50,50,high
1783929972.937143326,17.198279,0.380891,-0.087075,-0.083300,-0.749945,0.000000,0.754557,3,131,20,50,50,high
1783929973.157103777,17.181578,0.311950,-0.087075,-0.026936,-0.573149,0.000000,0.573781,3,131,20,50,50,high
1783929973.336804628,17.176548,0.173737,-0.087075,-0.015604,-0.789786,0.000000,0.789940,3,131,20,50,50,high
1783929973.336907148,17.182797,0.111441,-0.087075,-0.034909,-0.818722,0.000000,0.819466,3,131,20,50,50,high
1783929973.536975622,17.187788,0.014592,-0.087075,0.059388,-0.777093,0.000000,0.779359,3,131,20,50,50,high
1783929973.736906767,17.180675,-0.102857,-0.087075,-0.017622,-0.521581,0.000000,0.521878,3,131,20,50,50,high
1783929973.737131834,17.180243,-0.192729,-0.087075,-0.023358,-0.629896,0.000000,0.630328,3,131,20,50,50,high
1783929973.937227726,17.163542,-0.261670,-0.087075,-0.063188,-0.663386,0.000000,0.666389,3,131,20,50,50,high
1783929973.953195572,17.157687,-0.344565,-0.087075,-0.116353,-0.712309,0.000000,0.721749,3,131,20,50,50,high
1783929974.157076836,17.146409,-0.420483,-0.087075,-0.156089,-0.727995,0.000000,0.744541,3,131,20,50,50,high
1783929974.337095022,17.130534,-0.544743,-0.087075,-0.009993,-0.523250,0.000000,0.523345,3,131,20,50,50,high
1783929974.537045240,17.127587,-0.703721,-0.087075,-0.080860,-0.798711,0.000000,0.802793,3,131,20,50,50,high
1783929974.537111044,17.116309,-0.779640,-0.087075,-0.000861,-0.763128,0.000000,0.763128,3,131,20,50,50,high
1783929974.737047911,17.127980,-0.848912,-0.087075,0.051762,-0.764022,0.000000,0.765773,3,131,20,50,50,high
1783929974.737107277,17.127548,-0.938784,-0.087075,0.031443,-0.675959,0.000000,0.676690,3,131,20,50,50,high
1783929974.936855078,17.121694,-1.021679,0.012925,-0.062570,-0.652774,0.000000,0.655766,3,131,20,50,50,high
1783929974.936896801,17.122519,-1.076998,0.012925,-0.075892,-0.622599,0.000000,0.627207,3,131,20,50,50,high
1783929975.156812668,17.105818,-1.145939,0.012925,-0.125985,-0.664068,0.000000,0.675913,3,131,20,50,50,high
1783929975.316842318,17.072417,-1.283821,0.012925,-0.137810,-0.616264,0.000000,0.631485,3,131,20,50,50,high
1783929975.557393789,17.065304,-1.401270,0.012925,-0.053945,-0.561212,0.000000,0.563799,3,131,20,50,50,high
1783929975.756897926,17.060275,-1.539483,0.012925,0.018993,-0.661571,0.000000,0.661844,3,131,20,50,50,high
1783929975.756946087,17.057760,-1.608590,-0.087075,0.059055,-0.722890,0.000000,0.725299,3,131,20,50,50,high
1783929975.937139273,17.069431,-1.677863,-0.087075,0.020790,-0.800761,0.000000,0.801031,3,131,20,50,50,high
1783929975.937278032,17.070256,-1.733182,-0.087075,0.004459,-0.584210,0.000000,0.584227,3,131,20,50,50,high
